earthquake,earthquakeLabel,location
http://www.wikidata.org/entity/Q4204647,1833 Sumatra earthquake,Point(100.5 -2.5)
http://www.wikidata.org/entity/Q3673833,1859 Erzurum earthquake,Point(41.3 39.9)
http://www.wikidata.org/entity/Q3648078,2011 Hindukush earthquake,Point(71.102 36.502)
http://www.wikidata.org/entity/Q4207697,2009 Xinjiang earthquake,Point(80.9 43.3)
http://www.wikidata.org/entity/Q4116173,2006 Greece earthquake,Point(23.46 36.26)
http://www.wikidata.org/entity/Q4165194,2006 Banda Sea earthquake,Point(128.131 -5.473)
http://www.wikidata.org/entity/Q3646645,1812 Caracas earthquake,Point(-66.9667 10.5)
http://www.wikidata.org/entity/Q4191059,2007 Nevelsk earthquake,Point(141.761 47.255)
http://www.wikidata.org/entity/Q4115120,1995 Gulf of Aqaba earthquake,Point(34.799 28.826)
http://www.wikidata.org/entity/Q4191070,Q4191070,Point(114.628 -9.378)
http://www.wikidata.org/entity/Q4216855,2008 Sulawesi earthquake,Point(122.07 1.29)
http://www.wikidata.org/entity/Q3984674,Q3984674,Point(16.868 39.133)
http://www.wikidata.org/entity/Q4405741,"2013 Nariño, Colombia earthquake",Point(-77.4 1.142)
http://www.wikidata.org/entity/Q4178415,Mount Tai earthquake,Point(117.1075 36.255833)
http://www.wikidata.org/entity/Q3667156,1975 Lice earthquake,Point(40.723 38.474)
http://www.wikidata.org/entity/Q4191085,2012 Samar earthquake,Point(126.724 10.838)
http://www.wikidata.org/entity/Q4191057,Q4191057,Point(74.79 42.2)
http://www.wikidata.org/entity/Q3984665,Q3984665,Point(12.4908748 43.1951754)
http://www.wikidata.org/entity/Q4207720,2009 Fiji earthquake,Point(178.331 -17.239)
http://www.wikidata.org/entity/Q4191053,1139 Ganja earthquake,Point(46.3 40.3)
http://www.wikidata.org/entity/Q3984711,Q3984711,Point(13.687 38.364)
http://www.wikidata.org/entity/Q3984673,1638 Calabrian earthquakes,Point(16.2972 39.1752)
http://www.wikidata.org/entity/Q4201978,2013 Solomon Islands earthquake,Point(165.138 -10.7377)
http://www.wikidata.org/entity/Q4065335,1902 Andijan earthquake,Point(72.3 40.8)
